stimulus,band,center_freq_hz,level_db
stim488_busy_signal.wav,12,4241.951905307196,16.281620854427544
stim488_busy_signal.wav,13,5235.940635593701,10.434067526674113
stim488_busy_signal.wav,14,6450.92686023968,6.711781402155411
stim488_busy_signal.wav,15,7936.410018027007,5.97637453538392
stim488_busy_signal.wav,16,9751.389440029025,4.726714117501173
stim488_busy_signal.wav,17,11970.364281584109,1.594791143835263
stim488_busy_signal.wav,18,14682.333533633406,0.9847163031935436
stim488_busy_signal.wav,19,17997.79594335665,-2.3447507110763244
stim232_man_speaking.wav,0,172.99803857099127,45.783720926913745
stim232_man_speaking.wav,1,262.4970238432671,46.03938416028132
stim232_man_speaking.wav,2,371.4957880296142,45.06929419941399
stim232_man_speaking.wav,3,504.9942744413329,44.95954789084911
stim232_man_speaking.wav,4,668.4924207208535,44.36281813127046
stim232_man_speaking.wav,5,867.9901588417365,38.22097464622048
stim232_man_speaking.wav,6,1111.4873981020623,36.60024246372012
stim232_man_speaking.wav,7,1409.9840137866918,39.970682430741576
stim232_man_speaking.wav,8,1773.9798868493556,37.298251587508254
stim232_man_speaking.wav,9,2219.4748358862144,34.97455312568156
stim232_man_speaking.wav,10,2763.46866815569,33.84299222110343
stim232_man_speaking.wav,11,3428.9611228897634,37.407808224646466
stim232_man_speaking.wav,12,4241.951905307196,36.37139213965828
stim232_man_speaking.wav,13,5235.940635593701,35.47601425538923
stim232_man_speaking.wav,14,6450.92686023968,31.896572718551237
stim232_man_speaking.wav,15,7936.410018027007,31.235873897523486
stim232_man_speaking.wav,16,9751.389440029025,27.01165860407407
stim232_man_speaking.wav,17,11970.364281584109,17.279893690671994
stim232_man_speaking.wav,18,14682.333533633406,10.373686009754998
stim232_man_speaking.wav,19,17997.79594335665,9.679609663811162
stim158_flushing.wav,0,172.99803857099127,39.35090901924366
stim158_flushing.wav,1,262.4970238432671,48.277778702640276
stim158_flushing.wav,2,371.4957880296142,49.07776179570306
stim158_flushing.wav,3,504.9942744413329,39.11242425576522
stim158_flushing.wav,4,668.4924207208535,46.396800673030526
stim158_flushing.wav,5,867.9901588417365,36.61978945541125
stim158_flushing.wav,6,1111.4873981020623,38.0904855668214
stim158_flushing.wav,7,1409.9840137866918,35.6588955032504
stim158_flushing.wav,8,1773.9798868493556,38.47899442274441
stim158_flushing.wav,9,2219.4748358862144,36.662119105584814
stim158_flushing.wav,10,2763.46866815569,33.86951900608561
stim158_flushing.wav,11,3428.9611228897634,32.210867903410744
stim158_flushing.wav,12,4241.951905307196,35.71253930394944
stim158_flushing.wav,13,5235.940635593701,35.44489928086405
stim158_flushing.wav,14,6450.92686023968,31.053811350521727
stim158_flushing.wav,15,7936.410018027007,26.912351794523204
stim158_flushing.wav,16,9751.389440029025,24.340475894617807
stim158_flushing.wav,17,11970.364281584109,14.844639388663483
stim158_flushing.wav,18,14682.333533633406,5.5491105038313275
stim158_flushing.wav,19,17997.79594335665,5.682575804695912
stim405_whispering.wav,0,172.99803857099127,28.769934202509305
stim405_whispering.wav,1,262.4970238432671,30.952798600560165
stim405_whispering.wav,2,371.4957880296142,33.515811562985114
stim405_whispering.wav,3,504.9942744413329,36.90709853719018
stim405_whispering.wav,4,668.4924207208535,38.697997964593526
stim405_whispering.wav,5,867.9901588417365,42.34346924985833
stim405_whispering.wav,6,1111.4873981020623,41.200750777396145
stim405_whispering.wav,7,1409.9840137866918,39.58888572227108
stim405_whispering.wav,8,1773.9798868493556,41.13073053418262
stim405_whispering.wav,9,2219.4748358862144,42.55539986358943
stim405_whispering.wav,10,2763.46866815569,47.56872854736145
stim405_whispering.wav,11,3428.9611228897634,46.35464736695735
stim405_whispering.wav,12,4241.951905307196,41.68434708787157
stim405_whispering.wav,13,5235.940635593701,38.724714478444234
stim405_whispering.wav,14,6450.92686023968,34.95089288167547
stim405_whispering.wav,15,7936.410018027007,31.522969186795645
stim405_whispering.wav,16,9751.389440029025,27.17251739466284
stim405_whispering.wav,17,11970.364281584109,21.949775647495528
