onset_sec,note,velocity,offset,duration,freq
145.0,67.0,80.0,145.94791666666666,0.9479166666666572,391.9954359817492
146.0,64.0,80.0,146.94791666666666,0.9479166666666572,329.62755691286986
147.0,59.0,80.0,147.94791666666666,0.9479166666666572,246.94165062806212
148.0,64.0,80.0,149.42291666666668,1.42291666666668,329.62755691286986
149.5,62.0,80.0,149.97291666666666,0.4729166666666629,293.66476791740763
150.0,60.0,80.0,150.94791666666666,0.9479166666666572,261.6255653005986
151.0,72.0,80.0,151.94791666666666,0.9479166666666572,523.2511306011972
152.0,67.0,80.0,152.94791666666666,0.9479166666666572,391.9954359817492
153.0,64.0,80.0,153.94791666666666,0.9479166666666572,329.62755691286986
154.0,65.0,80.0,154.94791666666666,0.9479166666666572,349.22823143300394
155.0,69.0,80.0,155.94791666666666,0.9479166666666572,440.0
156.0,67.0,80.0,157.42291666666668,1.42291666666668,391.9954359817492
157.5,64.0,80.0,157.97291666666666,0.4729166666666629,329.62755691286986
158.0,62.0,80.0,158.94791666666666,0.9479166666666572,293.66476791740763
159.0,60.0,80.0,159.94791666666666,0.9479166666666572,261.6255653005986
160.0,72.0,80.0,160.47291666666666,0.4729166666666629,523.2511306011972
160.5,72.0,80.0,160.97291666666666,0.4729166666666629,523.2511306011972
161.0,71.0,80.0,161.47291666666666,0.4729166666666629,493.88330125612424
161.5,71.0,80.0,161.97291666666666,0.4729166666666629,493.88330125612424
162.0,72.0,80.0,162.47291666666666,0.4729166666666629,523.2511306011972
162.5,69.0,80.0,162.97291666666666,0.4729166666666629,440.0
163.0,67.0,80.0,163.94791666666666,0.9479166666666572,391.9954359817492
164.0,65.0,80.0,164.47291666666666,0.4729166666666629,349.22823143300394
164.5,65.0,80.0,164.97291666666666,0.4729166666666629,349.22823143300394
165.0,64.0,80.0,165.47291666666666,0.4729166666666629,329.62755691286986
165.5,64.0,80.0,165.97291666666666,0.4729166666666629,329.62755691286986
166.0,65.0,80.0,166.47291666666666,0.4729166666666629,349.22823143300394
166.5,64.0,80.0,166.97291666666666,0.4729166666666629,329.62755691286986
167.0,72.0,80.0,167.94791666666666,0.9479166666666572,523.2511306011972
168.0,64.0,80.0,168.94791666666666,0.9479166666666572,329.62755691286986
169.0,72.0,80.0,169.94791666666666,0.9479166666666572,523.2511306011972
170.0,71.0,80.0,170.47291666666666,0.4729166666666629,493.88330125612424
170.5,72.0,80.0,170.97291666666666,0.4729166666666629,523.2511306011972
171.0,74.0,80.0,171.47291666666666,0.4729166666666629,587.3295358348153
171.5,72.0,80.0,171.97291666666666,0.4729166666666629,523.2511306011972
172.0,71.0,80.0,173.42291666666668,1.42291666666668,493.88330125612424
173.5,67.0,80.0,173.97291666666666,0.4729166666666629,391.9954359817492
174.0,69.0,80.0,174.47291666666666,0.4729166666666629,440.0
174.5,72.0,80.0,174.97291666666666,0.4729166666666629,523.2511306011972
175.0,76.0,80.0,175.94791666666666,0.9479166666666572,659.2551138257397
176.0,67.0,80.0,176.47291666666666,0.4729166666666629,391.9954359817492
176.5,72.0,80.0,176.97291666666666,0.4729166666666629,523.2511306011972
177.0,60.0,80.0,177.94791666666666,0.9479166666666572,261.6255653005986
178.0,64.0,80.0,178.47291666666666,0.4729166666666629,329.62755691286986
178.5,67.0,80.0,178.97291666666666,0.4729166666666629,391.9954359817492
179.0,60.0,80.0,179.47291666666666,0.4729166666666629,261.6255653005986
179.5,72.0,80.0,179.97291666666666,0.4729166666666629,523.2511306011972
180.0,76.0,80.0,180.23541666666668,0.23541666666667993,659.2551138257397
180.25,71.0,80.0,180.48541666666668,0.23541666666667993,493.88330125612424
